	額外選擇層			後向新增層次			前向新增層次			對照組		
model_id	parameter_count	accuracy	score	parameter_count	accuracy	score	parameter_count	accuracy	score	parameter_count	accuracy	score
89	7850 	92.03 	92.02 	18826 	95.01 	94.99 	4714 	95.52 	95.52 	7850 	91.89 	91.88 
90	7850 	92.02 	92.01 	18826 	95.59 	95.57 	4714 	95.59 	95.59 	7850 	91.92 	91.91 
91	4714 	96.07 	96.07 	7850 	91.99 	91.98 	4714 	95.37 	95.37 	7850 	92.13 	92.12 
92	18826 	95.62 	95.60 	7850 	92.14 	92.13 	4714 	95.64 	95.64 	7850 	91.87 	91.86 
93	4714 	96.39 	96.39 	7850 	92.08 	92.07 	18826 	93.53 	93.51 	7850 	91.91 	91.90 
94	7850 	92.16 	92.15 	18826 	94.92 	94.90 	18826 	93.67 	93.65 	7850 	91.97 	91.96 
95	7850 	92.01 	92.00 	7850 	92.08 	92.07 	4714 	95.62 	95.62 	7850 	91.98 	91.97 
96	4714 	96.23 	96.23 	18826 	95.21 	95.19 	4714 	95.88 	95.88 	7850 	91.94 	91.93 
97	4714 	96.10 	96.10 	7066 	93.30 	93.29 	4714 	95.77 	95.77 	7850 	91.99 	91.98 
98	7066 	95.13 	95.12 	18826 	94.68 	94.66 	4714 	95.55 	95.55 	7850 	92.01 	92.00 
99	18826 	95.34 	95.32 	7850 	92.11 	92.10 	4714 	95.67 	95.67 	7850 	92.03 	92.02 
100	4714 	95.92 	95.92 	18826 	93.86 	93.84 	4714 	95.66 	95.66 	7850 	92.15 	92.14 
mean	7904.88 	95.30 	95.29 	13549.68 	93.83 	93.81 	7191.44 	94.94 	94.94 	7850.00 	92.02 	92.02 
std	5427.14 	1.37 	1.37 	5636.85 	1.33 	1.33 	4853.05 	1.39 	1.40 	0.00 	0.08 	0.08 
